owner	kind	row	column	value	lineage
fiber_1	realizer_11	4	-	-1	1711186366924054097
fiber_1	realizer_11	5	-	1	1711186366924054097
fiber_1	realizer_11	6	-	0	1711186366924054097
fiber_1	realizer_support	11	-	52:0:0	1711186366924054097
fiber_1	realizer_12	0	-	0	1711186366924054098
fiber_1	realizer_12	1	-	0	1711186366924054098
fiber_1	realizer_12	2	-	1	1711186366924054098
fiber_1	realizer_12	3	-	0	1711186366924054098
fiber_1	realizer_12	4	-	0	1711186366924054098
fiber_1	realizer_12	5	-	0	1711186366924054098
fiber_1	realizer_12	6	-	0	1711186366924054098
fiber_1	realizer_support	12	-	4:1:0	1711186366924054098
fiber_1	realizer_13	0	-	0	1711186366924054099
fiber_1	realizer_13	1	-	0	1711186366924054099
fiber_1	realizer_13	2	-	1	1711186366924054099
fiber_1	realizer_13	3	-	0	1711186366924054099
fiber_1	realizer_13	4	-	1	1711186366924054099
fiber_1	realizer_13	5	-	-1	1711186366924054099
fiber_1	realizer_13	6	-	0	1711186366924054099
fiber_1	realizer_support	13	-	52:0:0	1711186366924054099
fiber_1	realizer_14	0	-	0	1711186366924054100
fiber_1	realizer_14	1	-	0	1711186366924054100
fiber_1	realizer_14	2	-	1	1711186366924054100
fiber_1	realizer_14	3	-	1	1711186366924054100
fiber_1	realizer_14	4	-	-1	1711186366924054100
fiber_1	realizer_14	5	-	0	1711186366924054100
