kind	head	detail	form	witness
transport	logHeight₁	symmetry 0 substitution 1 arity 0	logHeight₁ x0 = log x1	
transport	logHeight₁	symmetry 0 substitution 1 arity 0	logHeight₁ x0 = logHeight₁ x1	
transport	logMap	symmetry 0 substitution 4 arity 0	logMap x0 = 0 	
transport	logMap	symmetry 0 substitution 4 arity 0	logMap x0 = logEmbedding x1 x2	
transport	logMap	symmetry 0 substitution 4 arity 0	logMap x0 = logMap x1	
transport	mahler	symmetry 0 substitution 0 arity 0	mahler x0 x1 = Ring.choose x1 x0	
transport	mahler	symmetry 0 substitution 0 arity 0	mahler x0 x1 = n.choose x0	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 x2 = g x3	
transport	max	symmetry 0 substitution 0 arity 0	max x0 x1 = log x2 x3	
transport	maximalIdeal	symmetry 0 substitution 0 arity 0	maximalIdeal x0 = v 	
transport	maximalIdeal	symmetry 0 substitution 0 arity 0	maximalIdeal x0 x1 = Ideal.span x2	
transport	mersenne	symmetry 0 substitution 0 arity 0	mersenne x0 = 0 	
transport	minpoly	symmetry 0 substitution 1 arity 0	minpoly x0 x1 = minpoly x0 x2	
transport	mixedEmbedding	symmetry 0 substitution 0 arity 0	mixedEmbedding x0 x1 = ringEquiv_mixedSpace x0 x2	
transport	mixedEmbedding.norm	symmetry 0 substitution 4 arity 0	mixedEmbedding.norm x0 = 1 	
transport	mixedEmbedding.norm	symmetry 0 substitution 4 arity 0	mixedEmbedding.norm x0 = mixedEmbedding.norm x1	
